index,Achnanthes;spp.,Alexandrium;catenella,Asterionella;glacialis,Asterionellopsis;glacialis,Atecados;XXX,Cerataulina;pelagica,Ceratium;furca,Ceratium;fusus,Chaetoceros;convolutus,Chaetoceros;spp.,Ciliados;spp.,Cistos;XXX,Cocconeis;spp.,Corethron;hystrix,Corethron;spp.,Coscinodiscus;spp.,Cylindrotheca;closterium,Detonula;pumila,Dictyocha;speculum,Dinophysis;acuminata,Dinophysis;acuta,Diplopsalis;spp.,Ditylum;brightwellii,Ebria;XXX,Eucampia;spp.,Eucampia;zodiacus,Euglenophyta;XXX,Flagelado;XXX,Grammatophora;marina,Grammatophora;spp.,Guinardia;delicatula,Guinardia;spp.,Gymnodinium;spp.,Gyrodinium;spp.,Gyrosigma;spp.,Heterocapsa;spp.,Lauderia;spp.,Lepidodinium;aff chlorophorum,Leptocylindrus;danicus,Leptocylindrus;mediterraneus,Leptocylindrus;minimus,Lichmophora;spp.,Melosira;spp.,Mesodinium;rubrum,Nanoplancton;spp.,Navicula;spp.,Nitzschia;longissima,Nitzschia;spp.,Odontella;aurita,Oxitoxum;spp.,Paralia;spp.,Paralia;sulcata,Pennadas;XXX,Pleurosigma;spp.,Prorocentrum;micans,Protoperidinium;spp.,Pseudo-Nitzschia;seriata,Pseudo-Nitzschia;delicatissima,Pseudo-Nitzschia;spp.,Rhizosolenia;aff. setigera,Rhizosolenia;delicatula,Rhizosolenia;spp.,Scrippsiella;spp.,Skeletonema;costatum,Skeletonema;spp.,Stephanopyxis;spp.,Tecados;XXX,Thalassionema;nitzschioides,Thalassiosira;minima,Thalassiosira;spp.,Thalassiotrix;frauenfeldii,Thalassiotrix;spp.,Tintinidos;spp.
2004/01/07,-0.140098285,-0.132571897,-0.22249409,-0.149678939,-0.212327977,-0.121149509,-0.262390414,-0.239071875,-0.256067922,-0.399068217,-0.186630155,1.819033193,-0.20387063,-0.271169608,-0.212292225,-0.132937169,18.00724806,-0.247585212,-0.419577544,1.37395731,-0.220904883,-0.297053137,-0.148423141,-0.364467783,-0.068518126,-0.11319782,-0.272474999,-0.180479786,-0.192032669,-0.06835728,-0.244543887,-0.137134479,-0.102586227,-0.384276788,-0.23180336,-0.117327734,-0.10834958,-0.089738832,-0.001959653,-0.103047596,-0.162423846,-0.361257644,-0.263904128,-0.329645591,-0.094258482,-0.171129789,-0.205967822,6.043270183,-0.162218802,-0.24712035,-0.223403025,-0.312870297,-0.131843924,-0.305751998,-0.101309294,0.452216267,-0.218912688,-0.108146861,-0.308190294,2.857696106,0.164984077,-0.182054166,-0.226245073,-0.30740826,-0.115565556,-0.243419262,-0.172686035,-0.332323972,-0.110238168,0.603454369,-0.191507687,-0.083689314,-0.242438442
2004/01/21,-0.140098285,-0.132571897,-0.22249409,-0.149678939,1.522933582,-0.121149509,-0.262390414,-0.239071875,-0.256067922,-0.092296297,-0.186630155,-0.181952901,-0.20387063,-0.271169608,9.728461697,-0.132937169,2.602087902,-0.247585212,0.236913056,-0.302756803,-0.220904883,-0.297053137,-0.103272291,3.295524123,0.546206837,-0.11319782,-0.272474999,-0.180479786,-0.192032669,-0.06835728,-0.244543887,-0.137134479,-0.102586227,-0.384276788,-0.23180336,-0.117327734,18.05011913,-0.089738832,0.039982143,-0.103047596,-0.154853734,-0.361257644,0.308981855,2.277331861,-0.094258482,-0.12691109,-0.205967822,0.334971215,-0.162218802,-0.24712035,5.181503132,-0.312870297,-0.128165558,-0.305751998,-0.101309294,0.452216267,-0.218912688,-0.108146861,-0.308190294,1.076594377,-0.128377991,-0.182054166,-0.226245073,0.142814231,-0.115565556,-0.243419262,-0.172686035,-0.332323972,-0.110238168,0.825953103,9.803581008,-0.083689314,-0.242438442
2004/02/07,-0.140098285,-0.132571897,-0.22249409,-0.149678939,-0.597941656,-0.121149509,-0.262390414,-0.239071875,-0.256067922,-0.389290626,-0.186630155,5.821005381,-0.20387063,-0.271169608,-0.212292225,-0.132937169,-0.208312937,-0.247585212,-0.419577544,-0.302756803,-0.220904883,-0.297053137,-0.01297059,-0.364467783,-0.214515305,-0.11319782,2.142952971,-0.180479786,-0.192032669,-0.06835728,-0.244543887,-0.137134479,-0.102586227,-0.384276788,-0.23180336,1.033271174,-0.10834958,-0.089738832,-0.100431695,-0.103047596,-0.162423846,-0.361257644,-0.263904128,0.973843135,-0.094258482,-0.171129789,-0.205967822,-0.218580198,-0.162218802,-0.24712035,-0.223403025,-0.312870297,-0.135522289,-0.305751998,-0.101309294,-0.212868635,-0.218912688,-0.108146861,-0.308190294,-0.064012642,-0.128377991,-0.182054166,-0.226245073,-0.30740826,-0.115565556,-0.243419262,-0.172686035,-0.332323972,-0.110238168,-0.461452867,-0.191507687,-0.083689314,-0.242438442
2004/02/21,-0.140098285,-0.132571897,-0.22249409,-0.149678939,-0.597941656,-0.121149509,-0.262390414,-0.239071875,1.428164305,1.21423431,-0.186630155,-0.181952901,-0.20387063,2.237160788,-0.212292225,0.469124399,1.248931942,2.552827761,-0.419577544,-0.302756803,-0.220904883,-0.297053137,0.483688766,-0.364467783,0.03137468,-0.11319782,0.935238986,-0.180479786,-0.192032669,-0.06835728,-0.244543887,-0.137134479,-0.102586227,4.498064336,-0.23180336,-0.117327734,0.419683435,-0.089738832,-0.100431695,-0.103047596,-0.151068677,0.0206088,-0.263904128,-0.329645591,-0.094258482,-0.171129789,-0.205967822,1.694851855,-0.162218802,-0.24712035,-0.223403025,-0.312870297,-0.135522289,-0.305751998,-0.101309294,0.452216267,-0.218912688,-0.108146861,-0.308190294,0.03250026,1.521783642,-0.182054166,-0.226245073,-0.270221742,-0.115565556,-0.243419262,0.42510347,-0.332323972,-0.110238168,0.16617362,2.748224282,-0.083689314,-0.242438442
2004/03/07,-0.140098285,-0.132571897,-0.22249409,-0.149678939,-0.597941656,-0.121149509,-0.262390414,-0.239071875,-0.256067922,-0.07885211,-0.186630155,7.821991474,-0.20387063,-0.271169608,-0.212292225,-0.132937169,-0.208312937,-0.247585212,-0.419577544,-0.302756803,-0.220904883,-0.297053137,0.619141318,-0.364467783,-0.214515305,-0.11319782,13.01237884,-0.180479786,-0.192032669,-0.06835728,-0.244543887,-0.137134479,-0.102586227,-0.384276788,-0.23180336,-0.117327734,-0.10834958,-0.089738832,-0.100431695,-0.103047596,-0.162423846,-0.361257644,4.662915325,7.491286765,-0.094258482,-0.141650656,-0.205967822,3.280312695,-0.162218802,-0.24712035,-0.223403025,-0.312870297,-0.135522289,-0.305751998,-0.101309294,1.449843619,-0.218912688,-0.108146861,-0.308190294,-0.213168944,-0.128377991,2.077442649,-0.226245073,-0.30740826,-0.115565556,-0.243419262,-0.172686035,-0.332323972,-0.110238168,-0.232523533,-0.191507687,-0.083689314,-0.242438442
2004/03/21,-0.140098285,0.083022454,-0.182615644,-0.104793305,-0.048044308,-0.01499924,-0.040573029,0.092324343,-0.194823114,-0.20270978,-0.172918602,-0.114343825,-0.20387063,0.20128148,-0.111880569,-0.107440774,-0.108096185,-0.232138929,-0.190274756,-0.110733116,-0.003187564,-0.246487147,-0.066829104,0.10504633,0.336480376,-0.112407052,-0.141116497,-0.101145128,-0.162118872,-0.062351072,-0.228119642,-0.117180031,-0.053141658,-0.018629596,-0.106630733,-0.076234915,-0.083992502,-0.088443285,-0.082975051,-0.098354917,-0.158896541,-0.178077468,-0.181294465,0.387273208,0.021041877,-0.084694889,-0.166070145,0.84201635,-0.144223511,0.448138855,-0.136051007,0.01608959,-0.08750779,-0.244871879,0.072764143,-0.092699406,-0.216424422,-0.049043994,-0.13208216,-0.192278833,-0.041611715,1.311235215,1.053608041,0.538166185,-0.068369077,-0.231555438,-0.127586138,0.634414466,-0.105344676,-0.29272052,-0.073918408,-0.074542809,0.43750098
2004/04/07,-0.140098285,-0.132571897,-0.22249409,-0.149678939,-0.597941656,-0.121149509,-0.262390414,-0.239071875,-0.256067922,-0.37462424,-0.186630155,-0.181952901,-0.20387063,-0.271169608,-0.212292225,-0.132937169,-0.208312937,-0.247585212,-0.419577544,-0.302756803,-0.220904883,-0.297053137,-0.103272291,-0.364467783,-0.214515305,-0.11319782,8.785379889,-0.180479786,0.02921992,-0.06835728,-0.244543887,-0.137134479,-0.102586227,-0.384276788,-0.23180336,-0.117327734,-0.10834958,-0.089738832,-0.054842787,-0.103047596,-0.105648003,-0.361257644,-0.18751933,3.580820587,-0.094258482,1.184910294,-0.205967822,0.040597053,-0.162218802,-0.24712035,-0.223403025,-0.312870297,-0.135522289,-0.305751998,-0.101309294,-0.212868635,-0.218912688,-0.108146861,-0.308190294,-0.213168944,-0.128377991,-0.182054166,-0.226245073,-0.30740826,-0.115565556,-0.243419262,-0.172686035,-0.332323972,-0.110238168,-0.461452867,-0.191507687,-0.083689314,-0.242438442
2004/04/21,-0.140098285,-0.132571897,-0.22249409,-0.149678939,-0.597941656,-0.121149509,-0.262390414,-0.239071875,-0.256067922,-0.399068217,-0.186630155,-0.181952901,-0.20387063,-0.271169608,-0.212292225,-0.132937169,-0.208312937,-0.247585212,-0.419577544,-0.302756803,-0.220904883,-0.297053137,-0.103272291,-0.364467783,-0.214515305,-0.11319782,0.63331049,-0.180479786,-0.192032669,-0.06835728,-0.244543887,-0.137134479,-0.102586227,-0.384276788,-0.23180336,0.02649713,-0.10834958,-0.089738832,-0.100431695,-0.103047596,-0.157692526,-0.361257644,-0.263904128,-0.329645591,-0.094258482,1.140691596,-0.205967822,-0.17218427,-0.162218802,-0.24712035,-0.223403025,-0.312870297,-0.135522289,-0.305751998,-0.101309294,-0.046597409,-0.218912688,-0.108146861,-0.308190294,-0.164912494,-0.128377991,-0.182054166,-0.226245073,-0.30740826,-0.115565556,-0.243419262,-0.172686035,-0.332323972,-0.110238168,-0.460166747,-0.191507687,-0.083689314,-0.242438442
2004/05/07,-0.094169334,-0.132149872,1.033685407,-0.149678939,-0.338723572,-0.116876443,-0.185370489,-0.146782986,0.773185106,-0.29767324,-0.169462844,-0.126369954,0.367734858,-0.201493764,-0.120248207,0.01088865,-0.185037498,-0.126673661,-0.166099229,-0.209606019,-0.135859055,-0.297053137,0.006845617,-0.252634697,-0.214195136,-0.105935094,-0.238927388,-0.146993817,-0.050676848,-0.038326241,-0.167696992,-0.132053485,-0.084306233,-0.248656202,-0.101415207,-0.025439626,-0.10834958,0.215074709,-0.092592936,-0.063526441,-0.160794169,-0.318828039,-0.19070203,-0.02187742,-0.08951904,-0.146645732,-0.185982647,0.178096096,-0.157201867,0.363767923,-0.223403025,-0.263917933,-0.107896234,1.406501358,4.98E-04,-0.19808897,-0.215180289,-0.108146861,0.869312201,-0.210244311,-0.103931152,-0.035605298,-0.165867246,-0.196309847,-0.107618789,-0.128692165,-0.100453136,-0.110586872,-0.110238168,-0.401144563,-0.183341765,-0.083689314,0.051710283
2004/05/21,-0.105651572,-0.132571897,-0.213405109,0.027058247,0.093867647,-0.053848729,-0.169966504,-0.239071875,-0.087644699,-0.388472917,-0.136426591,-0.181952901,-0.032388984,-0.208461348,0.201905856,-0.012524855,-0.181547215,-0.245990774,-0.003800164,-0.302756803,-0.220904883,-0.297053137,-0.119935105,-0.364467783,-0.214131102,-0.092351834,0.09702797,-0.157656303,0.273914748,-0.06835728,-0.240089647,-0.137134479,0.877538364,-0.009963969,-0.097689831,-0.117327734,-0.10834958,0.042137109,-0.09998449,-0.103047596,-0.142031856,-0.361257644,-0.19133857,-0.101535064,-0.092227293,-0.121015264,-0.134021191,-0.213940605,-0.124290771,1.127378263,1.037741745,0.123505063,-0.113570331,0.216077596,-0.048951268,-0.186740299,-0.146130907,-0.054618067,-0.23993608,-0.209534043,-0.128377991,-0.140211632,0.063568498,-0.301510908,-0.107980006,-0.239116996,-0.157741297,-0.133005646,-0.110238168,-0.445691774,-0.191507687,-0.083689314,-0.242438442
