index,Achnanthes;spp.,Actinoptychus;spp.,Asterionella;glacialis,Asterionella;japonica,Asterionella;spp.,Atecados;XXX,Centrica;XXX,Cerataulina;pelagica,Cerataulina;spp.,Ceratium;furca,Ceratium;fusus,Ceratium;spp.,Chaetoceros;convolutus,Chaetoceros;curvisetus,Chaetoceros;debilis,Chaetoceros;socialis,Chaetoceros;spp.,Cianoficea;XXX,Ciliados;spp.,Cistos;XXX,Cloroficea;coccoide,Cocconeis;spp.,Cochlodinium;spp.,Corethron;hystrix,Corethron;spp.,Coscinodiscus;spp.,Cylindrotheca;closterium,Detonula;pumila,Diatomea;XXX,Dictyocha;speculum,Dinophysis;acuminata,Dinophysis;spp.,Diploneis;spp.,Ditylum;brightwellii,Ditylum;spp.,Ebria;XXX,Eucampia;cornuta,Eucampia;spp.,Euglenophyta;XXX,Fitoflagelado;XXX,Flagelado;XXX,Fragilaria;spp.,Grammatophora;marina,Grammatophora;spp.,Guinardia;delicatula,Guinardia;spp.,Gymnodinium;spp.,Gyrodinium;spp.,Gyrosigma;spp.,Heterocapsa;spp.,Lauderia;borialis,Lauderia;spp.,Lepidodinium;aff.chlorophorum,Leptocylindrus;danicus,Leptocylindrus;minimus,Lichmophora;abbreviata,Lichmophora;spp.,Melosira;spp.,Mesodinium;rubrum,Nanoplancton;spp.,Navicula;spp.,Nitzschia;australis,Nitzschia;longissima,Nitzschia;spp.,Odontella;aurita,Odontella;longicruris,Odontella;spp.,Paralia;spp.,Paralia;sulcata,Pellet Fec.Zoo.;spp.,Pennadas;XXX,Pleurosigma;spp.,Polykrikos;spp.,Prorocentrum;spp.,Protoperidinium;spp.,Protozoos;spp.,Pseudo-Nitzschia;seriata,Pseudo-Nitzschia;delicatissima,Pseudo-Nitzschia;spp.,Rhizosolenia;aff.setigera,Rhizosolenia;delicatula,Rhizosolenia;fragilissima,Rhizosolenia;spp.,Rhizosolenia;stolterforthii,Scrippsiella;spp.,Skeletonema;costatum,Skeletonema;spp.,Stephanopyxis;spp.,Stephanopyxis;turris,Tecados;XXX,Thalassionema;nitzschioides,Thalassionema;spp.,Thalassiosira;rotula,Thalassiosira;spp.,Thalassiosira;subtilis,Thalassiotrix;frauenfeldii,Thalassiotrix;spp.,Tintinidos;spp.,Torodinium;spp.
1992/01/07,-0.082659443,-0.130485729,-0.165848098,-0.157006422,-0.113390341,-0.492117464,-0.091110617,7.238633556,-0.136274211,-0.233279447,-0.198122883,-0.191737994,-0.194892727,-0.122599122,0.143199617,3.636106736,-0.284196514,-0.139782736,-0.124788757,-0.171017742,-0.197529694,-0.099590588,-0.083501058,-0.181840622,-0.174510259,-0.267696748,0.058669433,-0.218001746,-0.170086079,-0.235926842,-0.340060754,-0.214293457,-0.155748504,0.042635742,-0.178347691,0.831649558,-0.132023669,-0.194382489,-0.231859742,-0.060276398,-0.22647649,-0.117683671,-0.237343458,-0.138204312,-0.126895569,-0.127080841,-0.095800478,-0.357408098,-0.190749795,-0.205364399,3.131701417,-0.110582073,-0.068291644,-0.129989115,-0.146294863,-0.121793854,-0.262772247,-0.12619813,-0.19553799,-0.488353547,-0.475655131,-0.051423112,-0.159569877,-0.195307925,-0.19255991,-0.189402319,-0.124727662,-0.200075035,-0.332884107,-0.243821637,-0.237588017,-0.222493043,-0.084564295,-0.126852763,2.337566975,-0.193196458,-0.235560672,-0.122939669,-0.178535857,0.010498486,-0.194272057,-0.09729191,-0.134446813,-0.190354029,-0.183378896,-0.24316994,-0.129789164,-0.234621665,-0.079157353,-0.071834471,0.204359845,-0.20793647,-0.134967248,-0.40493865,-0.132231389,-0.156198835,-0.128607861,-0.174589471,-0.244087344
1992/01/21,-0.082659443,-0.130485729,-0.165848098,-0.157006422,-0.113390341,-0.492117464,-0.091110617,10.11422305,-0.136274211,3.260838436,-0.198122883,-0.191737994,-0.194892727,-0.122599122,-0.058042255,10.33494634,-0.295469623,-0.139782736,-0.124788757,-0.171017742,-0.197529694,-0.099590588,-0.083501058,-0.181840622,-0.174510259,-0.267696748,1.984381273,-0.053998878,-0.170086079,-0.235926842,3.431685969,13.19471513,-0.155748504,0.026197734,-0.178347691,0.318126257,-0.132023669,-0.194382489,-0.231859742,-0.060276398,-0.22647649,-0.117683671,-0.237343458,-0.138204312,-0.126895569,-0.127080841,-0.095800478,-0.357408098,-0.190749795,-0.205364399,6.131498049,-0.110582073,-0.068291644,0.604118703,-0.146294863,-0.121793854,-0.262772247,-0.12619813,-0.19553799,-0.488353547,-0.475655131,0.25200367,-0.159569877,-0.195307925,-0.19255991,-0.189402319,-0.124727662,-0.200075035,0.204256275,-0.243821637,-0.228083787,-0.222493043,-0.084564295,-0.126852763,2.337566975,-0.193196458,-0.235560672,-0.122939669,-0.178535857,-0.028168625,3.894397093,-0.09729191,-0.123726972,-0.190354029,-0.183378896,-0.249964115,-0.129789164,-0.234621665,-0.079157353,-3.06E-04,-0.45707922,-0.20793647,-0.134967248,0.071914558,-0.132231389,-0.156198835,-0.128607861,-0.174589471,1.567560288
1992/02/07,-0.082659443,-0.130485729,-0.165848098,-0.157006422,-0.113390341,-0.492117464,-0.091110617,-0.134672834,-0.136274211,-0.233279447,-0.198122883,-0.191737994,0.557041889,1.595732971,0.969728731,12.79980127,-0.340562059,-0.139782736,-0.124788757,-0.171017742,-0.197529694,-0.099590588,-0.083501058,2.075453958,-0.174510259,-0.267696748,7.168990072,4.366450517,-0.170086079,-0.235926842,-0.340060754,-0.214293457,-0.155748504,-0.088868321,-0.178347691,-0.195397044,-0.132023669,-0.194382489,-0.231859742,-0.060276398,-0.22647649,-0.117683671,-0.237343458,-0.138204312,-0.126895569,-0.127080841,-0.095800478,-0.357408098,-0.190749795,-0.205364399,22.77481418,-0.110582073,-0.068291644,-0.127265153,-0.105638562,-0.121793854,-0.262772247,-0.12619813,-0.19553799,-0.488353547,-0.475655131,0.699919397,-0.159569877,-0.195307925,-0.19255991,-0.189402319,-0.124727662,-0.200075035,-0.332884107,-0.243821637,-0.237588017,-0.222493043,-0.084564295,-0.126852763,-0.469813347,-0.193196458,-0.235560672,-0.122939669,-0.178535857,-0.105502849,5.125242131,-0.09729191,-0.134446813,-0.190354029,-0.183378896,-0.249964115,-0.129789164,-0.234621665,-0.079157353,-0.071834471,-0.45707922,-0.20793647,-0.134967248,-0.262075746,-0.132231389,-0.156198835,-0.128607861,-0.174589471,-0.244087344
1992/02/21,-0.082659443,-0.130485729,-0.165848098,-0.157006422,-0.113390341,-0.102005777,-0.091110617,0.049659826,-0.136274211,-0.233279447,-0.198122883,-0.191737994,-0.194892727,0.42670376,0.078514729,8.759625754,-0.32928895,-0.139782736,-0.124788757,-0.171017742,-0.197529694,-0.099590588,-0.083501058,7.718690409,-0.174510259,-0.267696748,1.725150833,14.37157897,-0.170086079,-0.235926842,-0.340060754,-0.214293457,-0.155748504,-0.088868321,-0.178347691,-0.195397044,-0.132023669,-0.194382489,-0.231859742,-0.060276398,-0.22647649,-0.117683671,-0.237343458,-0.138204312,-0.126895569,-0.127080841,-0.095800478,-0.357408098,-0.190749795,-0.205364399,-0.112523088,-0.110582073,-0.068291644,-0.132713078,-0.058323041,-0.121793854,-0.262772247,-0.12619813,-0.19553799,0.660252765,-0.475655131,1.407915223,-0.159569877,-0.195307925,-0.19255991,-0.189402319,0.344099973,-0.200075035,-0.332884107,-0.243821637,-0.237588017,-0.222493043,-0.084564295,-0.126852763,0.933876814,-0.193196458,-0.235560672,-0.122939669,-0.178535857,-0.14416996,-0.279157922,-0.09729191,-0.134446813,-0.190354029,-0.183378896,-0.236375765,-0.129789164,-0.234621665,-0.079157353,-3.06E-04,-0.45707922,-0.20793647,-0.134967248,-0.298756762,-0.132231389,-0.156198835,-0.128607861,-0.174589471,-0.244087344
1992/03/07,-0.082659443,-0.130485729,-0.165848098,-0.157006422,-0.113390341,-0.492117464,-0.091110617,-0.134672834,-0.136274211,-0.233279447,-0.198122883,-0.191737994,-0.194892727,0.468957828,0.272569391,1.866976988,-0.32928895,-0.139782736,-0.124788757,-0.171017742,-0.197529694,-0.099590588,-0.083501058,-0.181840622,-0.174510259,-0.267696748,0.280866953,14.93128643,-0.170086079,-0.235926842,-0.340060754,-0.214293457,-0.155748504,-0.088868321,-0.178347691,-0.195397044,-0.132023669,-0.194382489,-0.231859742,-0.060276398,-0.22647649,-0.117683671,-0.237343458,-0.138204312,-0.126895569,-0.127080841,-0.095800478,-0.357408098,-0.190749795,-0.205364399,-0.112523088,-0.110582073,-0.068291644,-0.132713078,-0.146294863,-0.121793854,-0.262772247,-0.12619813,-0.19553799,-0.488353547,-0.475655131,6.826250627,-0.159569877,-0.195307925,-0.19255991,-0.189402319,-0.124727662,-0.200075035,-0.332884107,-0.243821637,-0.237588017,-0.222493043,-0.084564295,-0.126852763,2.337566975,-0.193196458,-0.235560672,-0.122939669,-0.178535857,-0.124836404,-0.279157922,-0.09729191,-0.134446813,-0.190354029,-0.183378896,-0.249964115,-0.129789164,-0.234621665,-0.079157353,-0.071834471,-0.45707922,-0.20793647,-0.134967248,-0.397216331,-0.132231389,-0.156198835,-0.128607861,-0.174589471,-0.244087344
1992/03/21,-0.082659443,-0.130485729,-0.165848098,-0.157006422,-0.113390341,-0.492117464,-0.091110617,-0.134672834,-0.136274211,1.513779495,-0.198122883,2.570708366,-0.194892727,-0.122599122,-0.15866319,-0.170006956,-0.317452186,-0.139782736,-0.124788757,-0.171017742,-0.197529694,-0.099590588,-0.083501058,-0.181840622,-0.174510259,0.071139314,-0.237593927,1.707124943,-0.170086079,-0.235926842,-0.340060754,7.831111696,-0.155748504,-0.088868321,-0.178347691,0.318126257,-0.132023669,-0.194382489,-0.231859742,-0.060276398,-0.22647649,-0.117683671,-0.237343458,-0.138204312,-0.126895569,-0.127080841,-0.095800478,-0.357408098,-0.190749795,-0.205364399,-0.112523088,-0.110582073,-0.068291644,-0.132713078,-0.146294863,-0.121793854,-0.262772247,-0.12619813,-0.19553799,-0.488353547,-0.475655131,-0.10921869,-0.159569877,-0.195307925,-0.19255991,-0.189402319,-0.124727662,-0.200075035,-0.332884107,-0.243821637,-0.237588017,-0.222493043,-0.084564295,1.378464958,5.495869837,-0.193196458,-0.235560672,-0.122939669,-0.178535857,-0.14416996,-0.279157922,-0.09729191,-0.134446813,-0.190354029,-0.183378896,-0.249964115,-0.129789164,-0.234621665,-0.079157353,-0.071834471,-0.45707922,-0.20793647,-0.134967248,-0.348951836,-0.132231389,-0.156198835,-0.128607861,-0.174589471,-0.244087344
1992/04/07,-0.082659443,-0.130485729,-0.165848098,-0.157006422,-0.113390341,0.288105911,-0.091110617,-0.134672834,-0.136274211,-0.233279447,-0.198122883,-0.191737994,-0.194892727,-0.122599122,-0.15866319,-0.170503902,-0.340562059,-0.139782736,-0.124788757,-0.171017742,-0.197529694,-0.099590588,-0.083501058,-0.181840622,-0.174510259,-0.267696748,-0.237593927,-0.212280715,-0.170086079,-0.235926842,-0.340060754,-0.214293457,-0.155748504,-0.088868321,-0.178347691,-0.195397044,-0.132023669,-0.194382489,-0.231859742,-0.060276398,-0.22647649,-0.117683671,-0.237343458,-0.138204312,-0.126895569,-0.127080841,0.030631223,-0.357408098,-0.190749795,-0.205364399,-0.112523088,-0.110582073,-0.068291644,-0.132713078,-0.146294863,-0.121793854,-0.262772247,-0.12619813,1.129303173,-0.488353547,-0.475655131,-0.10921869,-0.159569877,-0.195307925,-0.19255991,-0.189402319,-0.124727662,-0.200075035,-0.332884107,-0.243821637,-0.237588017,-0.222493043,-0.084564295,-0.071611745,1.635721894,-0.193196458,-0.235560672,-0.122939669,-0.178535857,-0.14416996,-0.279157922,-0.09729191,-0.134446813,-0.190354029,-0.183378896,-0.249964115,-0.129789164,-0.234621665,-0.079157353,-0.071834471,-0.45707922,-0.20793647,-0.134967248,-0.393355172,-0.132231389,-0.156198835,-0.128607861,-0.174589471,-0.244087344
1992/04/21,-0.082659443,-0.130485729,-0.165848098,-0.157006422,-0.113390341,-0.492117464,-0.091110617,-0.097806302,-0.136274211,-0.233279447,-0.198122883,-0.191737994,-0.194892727,-0.122599122,-0.15866319,-0.170503902,-0.340562059,-0.139782736,-0.124788757,-0.171017742,-0.197529694,-0.099590588,-0.083501058,-0.181840622,-0.174510259,-0.267696748,-0.237593927,-0.218001746,-0.170086079,1.123537872,-0.340060754,2.467508261,-0.155748504,-0.02311629,-0.178347691,-0.195397044,-0.132023669,-0.194382489,-0.231859742,-0.060276398,-0.22647649,-0.117683671,-0.237343458,-0.138204312,-0.126895569,-0.127080841,0.199206824,-0.357408098,-0.190749795,-0.205364399,-0.112523088,-0.110582073,-0.068291644,-0.131351096,-0.146294863,-0.121793854,-0.262772247,-0.12619813,-0.19553799,-0.488353547,-0.475655131,-0.10921869,-0.159569877,-0.195307925,-0.19255991,-0.189402319,-0.124727662,-0.200075035,1.815677422,-0.243821637,-0.237588017,-0.222493043,-0.084564295,15.54778588,4.443102216,-0.193196458,-0.235560672,-0.122939669,-0.178535857,-0.14416996,-0.279157922,-0.09729191,-0.134446813,-0.190354029,-0.183378896,-0.248265571,-0.129789164,-0.234621665,-0.079157353,-0.071834471,-0.043679804,-0.20793647,-0.134967248,-0.372118794,-0.132231389,-0.156198835,-0.128607861,-0.174589471,-0.244087344
1992/05/07,-0.082659443,-0.130485729,-0.165848098,-0.157006422,-0.113390341,-0.492117464,-0.091110617,-0.134672834,-0.136274211,-0.233279447,15.42729317,-0.191737994,-0.194892727,-0.122599122,-0.15866319,-0.170503902,-0.338307437,-0.139782736,-0.124788757,-0.171017742,-0.197529694,-0.099590588,-0.083501058,-0.181840622,-0.174510259,1.765319625,-0.237593927,-0.218001746,-0.170086079,-0.235926842,-0.340060754,-0.214293457,-0.155748504,0.009759726,-0.178347691,-0.195397044,-0.132023669,-0.194382489,-0.231859742,-0.060276398,-0.22647649,-0.117683671,-0.237343458,-0.138204312,-0.126895569,-0.127080841,0.072775123,-0.357408098,-0.190749795,-0.205364399,-0.112523088,-0.110582073,-0.068291644,-0.124541191,-0.146294863,-0.121793854,-0.262772247,-0.12619813,-0.19553799,-0.488353547,-0.475655131,-0.10921869,-0.159569877,-0.195307925,-0.19255991,-0.189402319,-0.124727662,-0.200075035,-0.332884107,-0.243821637,-0.237588017,-0.222493043,0.60730661,15.25777054,2.337566975,-0.193196458,-0.235560672,-0.122939669,-0.178535857,-0.14416996,-0.279157922,-0.09729191,-0.134446813,-0.190354029,-0.183378896,-0.249964115,-0.129789164,-0.234621665,-0.079157353,-0.071834471,-0.291719453,-0.20793647,-0.134967248,-0.296826182,-0.132231389,-0.156198835,-0.128607861,-0.174589471,-0.244087344
1992/05/21,-0.082659443,-0.130485729,-0.165848098,-0.157006422,-0.113390341,-0.492117464,-0.091110617,-0.134672834,-0.136274211,-0.233279447,7.614585142,-0.191737994,-0.194892727,-0.122599122,-0.15866319,-0.170503902,-0.340562059,-0.139782736,-0.124788757,-0.171017742,-0.197529694,-0.099590588,-0.083501058,-0.181840622,-0.174510259,1.087647501,-0.237593927,-0.218001746,-0.170086079,0.217228063,-0.340060754,2.467508261,-0.155748504,-0.088868321,-0.178347691,-0.195397044,-0.132023669,-0.194382489,0.604447548,-0.060276398,-0.22647649,-0.117683671,-0.237343458,-0.138204312,-0.126895569,-0.127080841,0.030631223,0.128012968,-0.190749795,-0.205364399,-0.112523088,-0.110582073,-0.068291644,-0.132713078,-0.146294863,-0.121793854,-0.262772247,-0.12619813,-0.19553799,-0.488353547,-0.475655131,-0.10921869,-0.159569877,-0.195307925,-0.19255991,-0.189402319,-0.124727662,-0.200075035,1.278537039,-0.243821637,-0.237588017,-0.222493043,-0.084564295,11.55662239,1.284799354,-0.193196458,-0.235560672,-0.122939669,-0.178535857,-0.14416996,-0.279157922,-0.09729191,-0.134446813,-0.190354029,-0.183378896,-0.249964115,-0.129789164,-0.234621665,-0.079157353,-0.071834471,-0.126359687,-0.20793647,-0.134967248,-0.389494012,-0.132231389,-0.156198835,-0.128607861,7.133980341,-0.244087344
