index,Achnanthes;spp.,Actinoptychus;spp.,Ameba;spp.,Amphidinium;spp.,Asterionella;glacialis,Asterionella;spp.,Asteromphalus;spp.,Atecados;XXX,Centrica;XXX,Cerataulina;pelagica,Cerataulina;spp.,Ceratium;fusus,Ceratium;spp.,Chaetoceros;convolutus,Chaetoceros;criophilus,Chaetoceros;curvisetus,Chaetoceros;debilis,Chaetoceros;decipiens,Chaetoceros;didymus,Chaetoceros;radicans,Chaetoceros;spp.,Ciliados;spp.,Cistos;XXX,Climacodium;spp.,Cloroficea;coccoide,Cocconeis;spp.,Cochlodinium;spp.,Corethron;hystrix,Corethron;spp.,Coscinodiscus;spp.,Criptoficeas;XXX,Cylindrotheca;closterium,Dactyliosolen;spp.,Detonula;pumila,Detonula;spp.,Dictyocha;speculum,Dinophysis;acuminata,Dinophysis;rotundatum,Dinophysis;spp.,Diploneis;spp.,Diplopsalis;grupo,Diplopsalis;spp.,Ditylum;brightwellii,Ebria;XXX,Eucampia;spp.,Eucampia;zodiacus,Euglenophyta;XXX,Fitoflagelado;XXX,Flagelado;XXX,Gonyaulax;spp.,Grammatophora;marina,Grammatophora;spp.,Guinardia;delicatula,Guinardia;spp.,Gymnodinium;spp.,Gyrodinium;spp.,Gyrosigma;spp.,Heterocapsa;spp.,Katodinium;spp.,Lauderia;spp.,Lepidodinium;aff;chlorophorum,Leptocylindrus;danicus,Leptocylindrus;minimus,Lichmophora;abbreviata,Lichmophora;spp.,Melosira;spp.,Melosira;varians,Mesodinium;rubrum,Nanoplancton;spp.,Nauplio;spp.,Navicula;spp.,Nitzschia;longissima,Nitzschia;spp.,Odontella;aurita,Oxitoxum;spp.,Pennadas;XXX,Phaeocystis(colonias);spp.,Pleurosigma;spp.,Primneceoficeas;XXX,Prorocentrum;spp.,Protoperidinium;pellucidum,Protoperidinium;spp.,Protozoos;spp.,Pseudo-Nitzschia;australis,Pseudo-Nitzschia;delicatissima,Pseudo-Nitzschia;spp.,Pseudochattonella;cf.verruculosa(>10um),Pyrocystis;spp.,Rhabdonema;spp.,Rhizosolenia;aff.setigera,Rhizosolenia;delicatula,Rhizosolenia;spp.,Rhizosolenia;stolterforthii,Scrippsiella;spp.,Skeletonema;costatum,Skeletonema;spp.,Stephanopyxis;spp.,Stephanopyxis;turris,Tecados;XXX,Thalassionema;nitzschioides,Thalassiosira;decipiens,Thalassiosira;minima,Thalassiosira;rotula,Thalassiosira;spp.,Thalassiotrix;frauenfeldii,Thalassiotrix;spp.,Tintinidos;spp.,Torodinium;spp.
1992/01/07,-0.022769198,-0.094913243,-0.065158547,-0.024142104,-0.111411726,-0.091045,-0.075674276,-0.034500565,0.487691796,0.007385339,0.016225219,0.113852068,-0.031139384,-0.166895932,-0.151067439,-0.037669363,-0.091737965,0.2753543,-0.025203862,-0.07724285,-0.12791417,-0.147272001,-0.020535067,-0.119029257,-0.057799885,0.482831131,-0.071490586,-0.207370439,-0.121394409,0.314731262,-0.183536782,-0.114599059,-0.056114906,0.255390656,0.106312396,0.694290665,0.595731098,0.038158891,-0.1241152,-0.138720218,-0.210689868,-0.118965989,-0.264618351,0.655591564,0.041553261,-0.059803636,-0.088987884,0.286702082,-0.048002501,-0.02835022,-0.234676168,-0.117447798,-0.002109306,0.007313475,-0.067494337,-0.001447107,-0.022972078,-0.03951049,7.35E-05,0.767490406,-0.114808273,-0.093363126,-0.078953722,-0.078971588,0.018984235,-0.189374332,0.097729952,0.305303753,-0.060379333,-0.096613991,-0.117323473,-0.160467164,-0.184361321,-0.193806711,-0.080668979,0.01842048,-0.060105211,-0.203351267,0.419635147,0.961572576,-0.022654071,0.226293305,-0.092812369,0.869756504,-0.117222648,0.429496069,-0.052431227,-0.038346567,0.103136769,0.69698637,0.418767652,-0.086163592,-0.021621171,-0.139102625,0.002482729,0.131779045,-0.171492975,-0.047727705,0.11690811,-0.056631476,-0.119532748,-0.089235428,-0.104194914,-0.266773797,-0.043143728,-0.107221022,-0.027978508,-0.171091077
1992/01/21,-0.054024469,-0.094913243,-0.068142653,-0.175859108,-0.11522706,-0.099767197,-0.137038215,0.366903627,-0.116496188,-0.06226948,-0.076409146,-0.131144227,-0.142862423,-0.186399165,-0.204719826,-0.107419101,-0.107191453,-0.125253122,-0.064680709,-0.08624063,-0.308669327,-0.219035474,-0.074941644,-0.132459945,-0.06190118,-0.288250359,-0.176611253,-0.272537745,-0.166203762,0.479764858,-0.183536782,5.483217395,-0.088622261,-0.168077708,-0.139696072,-0.19814998,-0.400671753,-0.247677772,-0.1241152,-0.138720218,-0.210689868,-0.222847048,-0.282924878,-0.331051476,-0.115045306,-0.16632463,0.001096887,-0.200900416,-0.052076453,-0.058334401,-0.306173263,-0.117447798,-0.094132357,-0.07889364,-0.068933689,-0.108252557,-0.106922282,-0.040060342,-0.102713986,-0.091115427,-0.12217926,-0.124927466,-0.137818369,-0.198186505,4.377844781,-0.21150647,-0.085306426,-0.072286843,0.150681314,9.226647189,-0.130138537,-0.160467164,-0.209991459,-0.246123384,-0.207041967,-0.081742747,-0.070981797,-0.343511689,-0.089972778,-0.095493748,-0.202268101,-0.504890309,-0.101912448,-0.111478542,-0.180776007,-0.192549632,-0.052437057,-0.215399346,-0.186887135,-0.275152965,-0.225693664,-0.091125796,-0.129401116,-0.230512847,-0.341899511,-0.161492635,-0.188668509,-0.047999271,-0.224540743,-0.048926147,-0.120921906,-0.100681083,-0.144248806,-0.314857264,-0.151956182,-0.121293958,1.91861816,-0.171091077
1992/02/07,-0.054024469,-0.094913243,-0.068142653,-0.175859108,-0.11522706,-0.099767197,-0.137038215,0.407853521,-0.116496188,-0.06226948,-0.076409146,-0.131144227,-0.142862423,-0.186399165,-0.204719826,-0.107419101,-0.107191453,-0.125253122,-0.064680709,-0.08624063,-0.308669327,-0.219035474,-0.074941644,-0.132459945,-0.06190118,-0.288250359,-0.176611253,-0.272537745,-0.166203762,3.606077584,-0.183536782,1.91325861,-0.088622261,-0.168077708,-0.139696072,-0.19814998,-0.400671753,-0.247677772,-0.1241152,-0.138720218,-0.210689868,-0.222847048,-0.282924878,-0.331051476,0.002637116,-0.16632463,-0.145769598,-0.200900416,-0.052076453,-0.058334401,-0.306173263,-0.117447798,-0.094132357,-0.07889364,-0.068933689,-0.108252557,5.937492384,-0.040060342,-0.102713986,-0.091115427,-0.12217926,-0.124927466,-0.137818369,-0.198186505,4.015537666,4.282350248,-0.085306426,-0.072286843,0.112948097,-0.225210697,-0.130138537,-0.160467164,-0.209991459,-0.246123384,-0.207041967,0.547386115,-0.070981797,-0.343511689,-0.089972778,-0.095493748,-0.202268101,-0.504890309,-0.101912448,-0.111478542,-0.180776007,-0.192549632,-0.052437057,-0.215399346,-0.186887135,-0.275152965,-0.225693664,-0.091125796,-0.129401116,-0.230512847,-0.355505897,-0.161492635,-0.188668509,-0.047999271,-0.224540743,0.174531754,-0.120921906,-0.100681083,-0.144248806,-0.277288852,-0.151956182,-0.121293958,-0.238289203,-0.171091077
1992/02/21,-0.054024469,-0.094913243,-0.068142653,-0.175859108,-0.11522706,-0.099767197,-0.137038215,2.265243069,-0.116496188,-0.06226948,-0.076409146,-0.131144227,4.549505234,1.269842226,-0.204719826,-0.107419101,-0.107191453,-0.125253122,-0.064680709,-0.08624063,-0.280775539,-0.219035474,-0.074941644,-0.132459945,-0.06190118,-0.288250359,-0.176611253,-0.272537745,-0.166203762,2.489537325,-0.183536782,1.494135476,-0.088622261,-0.168077708,-0.139696072,0.148724191,-0.400671753,19.72126774,-0.1241152,-0.138720218,-0.210689868,-0.222847048,-0.282924878,-0.331051476,-0.115045306,-0.16632463,-0.145769598,-0.200900416,-0.052076453,-0.058334401,12.34809507,-0.117447798,-0.094132357,-0.07889364,-0.068933689,-0.036514822,-0.106922282,-0.040060342,-0.102713986,-0.091115427,-0.12217926,-0.124927466,-0.137818369,-0.198186505,1.176737743,0.408193376,-0.085306426,-0.072286843,0.090072794,9.226647189,-0.067431814,-0.160467164,-0.113833549,-0.246123384,-0.207041967,0.025745526,-0.070981797,-0.343511689,-0.089972778,-0.095493748,-0.202268101,-0.504890309,-0.101912448,-0.111478542,-0.180776007,-0.192549632,-0.052437057,-0.215399346,-0.186887135,-0.275152965,-0.225693664,-0.091125796,-0.129401116,-0.230512847,-0.353452103,-0.161492635,-0.188668509,-0.047999271,-0.224540743,-0.048926147,-0.120921906,-0.100681083,-0.144248806,-0.204361935,-0.151956182,7.326103983,-0.238289203,-0.171091077
1992/03/07,-0.049701216,1.020048041,0.2624444,-0.095941288,-0.047077514,-0.099767197,-0.11706594,0.133308711,-0.042942869,-0.027013425,-0.037240711,-0.059189006,0.027150898,-0.181122928,-0.146369389,-0.107419101,-0.106463067,-0.117590641,-0.064680709,-0.08624063,-0.162939178,0.117851012,0.163501094,-7.22E-04,-0.058156519,-0.119475822,-0.073248457,-0.233790423,-0.125002944,-0.125164705,0.185172259,-0.096344021,-0.080432414,0.164834446,-0.007091193,-0.10675231,0.392283765,-0.037580868,-0.087290736,-0.097950795,0.268512058,-0.019821222,-0.146805199,-0.305974017,-0.087150786,-0.086118769,-0.114783553,-0.200900416,-0.049087556,1.087183221,-0.248580118,-0.090896957,-0.08161747,1.11215574,0.046948811,-0.056646574,-0.106922282,-0.039391667,-0.064692415,-0.083707445,0.12571316,0.207309026,0.006488489,-0.079133565,-0.159944243,-0.121450219,-0.077807444,0.998855473,-0.041376982,-0.146181784,-0.094154118,0.327898075,0.594644492,-0.225718132,0.216032819,0.382131463,1.041267312,-0.155065619,-0.057494978,-0.062262396,0.585686219,0.072319604,0.055954141,-0.10336612,-0.096062457,0.333546893,1.083024822,0.333819557,-0.114979034,0.086815218,-0.079300471,-0.080392413,0.051013139,0.884721482,-0.24269321,-0.161415909,-0.188668509,-0.047999271,-0.014896943,0.719112611,0.464548944,-0.100681083,-0.042669305,-0.047181867,0.100390122,0.871178466,-0.065880889,-0.070844904
1992/03/21,-0.054024469,-0.094913243,-0.068142653,-0.175859108,-0.11522706,-0.099767197,-0.137038215,0.340326875,-0.116496188,-0.06226948,-0.076409146,-0.131144227,-0.142862423,-0.186399165,-0.204719826,-0.107419101,-0.107191453,-0.125253122,-0.064680709,-0.08624063,-0.312960679,-0.219035474,-0.074941644,-0.132459945,-0.06190118,-0.288250359,-0.176611253,-0.272537745,-0.166203762,-0.190159297,-0.183536782,-0.176966408,-0.088622261,-0.168077708,-0.139696072,2.144985041,-0.400671753,-0.247677772,-0.1241152,-0.138720218,-0.210689868,-0.222847048,-0.282924878,-0.331051476,-0.115045306,-0.16632463,-0.145769598,-0.200900416,-0.052076453,-0.058334401,-0.306173263,-0.117447798,-0.094132357,-0.07889364,-0.068933689,-0.108252557,-0.106922282,-0.040060342,-0.102713986,-0.091115427,-0.12217926,-0.124927466,-0.137818369,-0.198186505,-0.27831091,-0.21150647,-0.085306426,-0.072286843,0.016000944,-0.225210697,-0.094839878,-0.160467164,0.063125288,-0.246123384,-0.207041967,-0.204236383,-0.070981797,-0.343511689,-0.089972778,-0.095493748,-0.202268101,3.745391332,-0.101912448,-0.111478542,-0.180776007,-0.192549632,-0.052437057,-0.215399346,-0.186887135,-0.275152965,-0.225693664,0.239818601,-0.129401116,-0.230512847,6.26129474,-0.161492635,-0.188668509,-0.047999271,-0.224540743,-0.227692469,-0.120921906,-0.100681083,-0.144248806,-0.239112716,-0.151956182,-0.121293958,-0.238289203,-0.171091077
1992/04/07,-0.054024469,-0.094913243,-0.068142653,-0.175859108,-0.11522706,-0.099767197,-0.137038215,0.068593144,-0.116496188,-0.06226948,-0.076409146,-0.131144227,-0.142862423,-0.186399165,-0.204719826,-0.107419101,-0.107191453,-0.125253122,-0.064680709,-0.08624063,-0.312960679,-0.219035474,0.105459112,-0.132459945,-0.06190118,-0.288250359,-0.176611253,-0.272537745,-0.166203762,-0.190159297,-0.183536782,-0.150013152,-0.088622261,-0.168077708,-0.139696072,-0.19814998,2.76057758,-0.247677772,-0.1241152,-0.138720218,-0.210689868,-0.222847048,-0.282924878,-0.331051476,-0.115045306,-0.16632463,0.147963372,-0.200900416,-0.052076453,-0.058334401,0.326540154,-0.117447798,-0.094132357,-0.07889364,-0.068933689,0.035222913,-0.106922282,-0.040060342,-0.102713986,-0.091115427,-0.12217926,-0.124927466,-0.137818369,-0.198186505,0.012698821,-0.21150647,-0.085306426,-0.072286843,0.078304149,-0.225210697,-0.127525757,-0.160467164,-0.178881547,-0.246123384,-0.207041967,-0.242975157,-0.070981797,-0.343511689,-0.089972778,-0.095493748,-0.202268101,-0.504890309,0.662494192,-0.111478542,-0.180776007,-0.192549632,-0.052437057,-0.215399346,-0.186887135,-0.275152965,-0.225693664,-0.082960378,-0.129401116,-0.230512847,-0.353580465,-0.161492635,-0.188668509,-0.047999271,-0.224540743,-0.227692469,-0.120921906,-0.100681083,-0.144248806,-0.302702778,-0.151956182,-0.121293958,-0.238289203,-0.171091077
1992/04/21,-0.054024469,-0.094913243,-0.068142653,-0.175859108,-0.11522706,-0.099767197,0.142667182,0.339784492,-0.116496188,-0.06226948,-0.076409146,-0.131144227,-0.142862423,-0.186399165,-0.204719826,-0.107419101,-0.107191453,-0.125253122,-0.064680709,-0.08624063,-0.312960679,-0.219035474,-0.074941644,-0.132459945,0.153416826,-0.288250359,-0.176611253,-0.272537745,-0.166203762,-0.190159297,0.142115059,-0.176966408,-0.088622261,-0.168077708,-0.139696072,-0.024712895,-0.400671753,-0.247677772,-0.1241152,-0.138720218,-0.210689868,-0.222847048,-0.282924878,-0.331051476,-0.115045306,-0.16632463,-0.145769598,-0.200900416,-0.052076453,-0.058334401,-0.306173263,-0.117447798,-0.094132357,-0.07889364,-0.068933689,-0.108252557,-0.106922282,-0.040060342,-0.102713986,-0.091115427,-0.12217926,-0.124927466,-0.137818369,-0.198186505,-0.27831091,-0.004939854,-0.085306426,-0.072286843,0.026522112,-0.225210697,-0.127525757,-0.160467164,-0.181709721,-0.246123384,-0.207041967,-0.255873749,-0.070981797,-0.343511689,-0.089972778,3.783299061,-0.202268101,-0.504890309,-0.101912448,-0.111478542,-0.180776007,-0.192549632,-0.052437057,-0.215399346,-0.186887135,-0.264673984,-0.225693664,-0.091125796,-0.129401116,-0.230512847,-0.349472877,-0.161492635,-0.188668509,-0.047999271,-0.224540743,-0.227692469,-0.120921906,-0.100681083,-0.144248806,-0.313752311,-0.151956182,-0.121293958,-0.238289203,-0.171091077
1992/05/07,-0.054024469,-0.094913243,-0.068142653,-0.175859108,-0.11522706,-0.099767197,-0.137038215,0.095712278,-0.116496188,-0.06226948,-0.076409146,-0.131144227,-0.142862423,-0.186399165,-0.204719826,-0.107419101,-0.107191453,-0.125253122,-0.064680709,-0.08624063,-0.312960679,-0.219035474,-0.074941644,0.351044807,-0.06190118,-0.288250359,-0.176611253,-0.272537745,-0.166203762,-0.190159297,-0.183536782,-0.176966408,-0.088622261,-0.168077708,-0.139696072,-0.19814998,-0.400671753,-0.247677772,-0.1241152,-0.138720218,-0.210689868,-0.222847048,-0.282924878,-0.331051476,-0.115045306,-0.16632463,2.938426592,-0.200900416,-0.052076453,-0.058334401,-0.306173263,-0.117447798,-0.094132357,-0.07889364,-0.068933689,-0.108252557,-0.106922282,-0.040060342,-0.102713986,-0.091115427,-0.12217926,-0.124927466,-0.137818369,-0.198186505,-0.27831091,-0.21150647,-0.085306426,-0.072286843,0.273663651,-0.225210697,-0.130138537,-0.160467164,-0.198678764,-0.246123384,-0.207041967,-0.275221638,-0.070981797,-0.343511689,-0.089972778,-0.095493748,-0.202268101,0.124314967,2.955714114,-0.111478542,-0.180776007,-0.192549632,-0.052437057,-0.215399346,-0.186887135,-0.275152965,-0.225693664,-0.091125796,-0.129401116,-0.230512847,-0.061556627,-0.161492635,-0.188668509,-0.047999271,-0.224540743,-0.138309308,-0.120921906,-0.100681083,-0.144248806,-0.314857264,-0.151956182,2.006534025,1.91861816,-0.171091077
1992/05/21,-0.054024469,-0.094913243,-0.068142653,-0.175859108,-0.11522706,-0.099767197,-0.137038215,-0.311074745,-0.116496188,-0.06226948,-0.076409146,-0.131144227,-0.142862423,-0.186399165,-0.204719826,-0.107419101,-0.107191453,-0.125253122,-0.064680709,-0.08624063,-0.312960679,-0.219035474,-0.074941644,-0.132459945,-0.06190118,-0.288250359,-0.176611253,0.708587106,-0.166203762,0.033148755,-0.183536782,-0.176966408,-0.088622261,0.243349313,-0.139696072,0.669035446,-0.400671753,-0.247677772,-0.1241152,-0.138720218,-0.210689868,-0.222847048,-0.282924878,-0.331051476,-0.115045306,-0.16632463,-0.072336355,-0.200900416,-0.052076453,-0.058334401,-0.147994908,-0.117447798,-0.094132357,-0.07889364,-0.068933689,-0.108252557,-0.106922282,-0.040060342,-0.102713986,-0.091115427,-0.12217926,-0.124927466,-0.137818369,-0.198186505,-0.27831091,-0.108223162,-0.085306426,-0.072286843,0.075067772,-0.225210697,-0.130138537,-0.160467164,-0.187366069,1.548338501,-0.207041967,-0.258023515,-0.070981797,-0.343511689,-0.089972778,0.680264814,-0.202268101,-0.190287671,-0.101912448,-0.111478542,-0.180776007,-0.192549632,-0.052437057,-0.215399346,-0.186887135,-0.275152965,-0.225693664,-0.091125796,-0.129401116,-0.230512847,-0.076960082,-0.161492635,-0.188668509,-0.047999271,-0.224540743,-0.227692469,-0.120921906,-0.100681083,-0.144248806,-0.302702778,-0.151956182,-0.121293958,2.997071841,-0.171091077
